#id	length	GC	avg.qual	sample
SRR9089358.74	1544	51.17	40.45	BEI_FL16S
SRR9089358.75	1550	52.32	35.36	BEI_FL16S
SRR9089358.76	1460	55.21	47.76	BEI_FL16S
SRR9089358.77	1551	52.22	31.61	BEI_FL16S
SRR9089358.78	1504	52.46	35.58	BEI_FL16S
SRR9089358.79	1542	51.82	34.94	BEI_FL16S
SRR9089358.80	1544	50.84	32.74	BEI_FL16S
SRR9089358.81	1535	54.40	42.46	BEI_FL16S
SRR9089358.82	1551	52.48	35.68	BEI_FL16S
SRR9089358.83	1545	51.13	32.47	BEI_FL16S
SRR9089358.84	1545	50.81	51.64	BEI_FL16S
SRR9089358.85	1547	52.36	38.21	BEI_FL16S
SRR9089358.86	1542	50.78	60.77	BEI_FL16S
SRR9089358.87	1544	51.17	44.06	BEI_FL16S
SRR9089358.88	1549	52.29	40.21	BEI_FL16S
SRR9089358.89	1528	54.52	36.60	BEI_FL16S
SRR9089358.90	1549	52.29	50.30	BEI_FL16S
SRR9089358.91	1460	55.21	45.14	BEI_FL16S
SRR9089358.92	1549	52.29	32.31	BEI_FL16S
SRR9089358.93	1550	52.32	47.19	BEI_FL16S
SRR9089358.94	1537	54.46	35.57	BEI_FL16S
SRR9089358.95	1549	52.23	31.13	BEI_FL16S
SRR9089358.96	1535	54.40	36.01	BEI_FL16S
SRR9089358.97	1563	52.02	30.07	BEI_FL16S
SRR9089358.98	1544	51.23	31.24	BEI_FL16S
SRR9089358.99	1535	54.53	66.32	BEI_FL16S
SRR9089358.100	1550	50.97	31.89	BEI_FL16S
SRR9089358.101	1535	54.33	40.64	BEI_FL16S
SRR9089358.102	1553	52.29	33.40	BEI_FL16S
SRR9089358.103	1543	51.07	45.81	BEI_FL16S
SRR9089358.104	1550	52.39	45.23	BEI_FL16S
SRR9089358.105	1549	52.29	35.44	BEI_FL16S
SRR9089358.106	1545	50.94	40.60	BEI_FL16S
SRR9089358.107	1533	54.53	43.83	BEI_FL16S
SRR9089358.108	1538	50.98	49.75	BEI_FL16S
SRR9089358.109	1550	52.32	67.93	BEI_FL16S
SRR9089358.110	1550	52.19	32.74	BEI_FL16S
SRR9089358.111	1535	54.33	34.81	BEI_FL16S
SRR9089358.112	1550	52.26	45.69	BEI_FL16S
SRR9089358.113	1550	52.52	38.82	BEI_FL16S
SRR9089358.114	1542	53.44	31.90	BEI_FL16S
SRR9089358.115	1540	52.53	34.96	BEI_FL16S
SRR9089358.116	1550	52.26	38.68	BEI_FL16S
SRR9089358.117	1533	54.53	35.77	BEI_FL16S
SRR9089358.118	1544	51.04	62.41	BEI_FL16S
SRR9089358.119	1536	54.23	30.96	BEI_FL16S
SRR9089358.120	1536	54.17	49.65	BEI_FL16S
SRR9089358.121	1548	51.03	33.40	BEI_FL16S
SRR9089358.122	1541	53.28	32.99	BEI_FL16S
SRR9089358.123	1549	52.29	40.88	BEI_FL16S
SRR9089358.124	1548	52.39	37.94	BEI_FL16S
SRR9089358.125	1544	51.04	39.88	BEI_FL16S
SRR9089358.126	1543	51.26	58.66	BEI_FL16S
SRR9089358.127	1544	51.04	50.08	BEI_FL16S
SRR9089358.128	1550	52.19	48.56	BEI_FL16S
SRR9089358.129	1543	51.07	37.73	BEI_FL16S
SRR9089358.130	1542	50.97	35.93	BEI_FL16S
SRR9089358.131	1550	52.26	51.81	BEI_FL16S
SRR9089358.132	1524	51.18	40.17	BEI_FL16S
SRR9089358.133	1544	53.30	34.86	BEI_FL16S
SRR9089358.134	1535	54.33	39.82	BEI_FL16S
SRR9089358.135	1550	52.32	36.67	BEI_FL16S
SRR9089358.136	1536	54.23	41.49	BEI_FL16S
SRR9089358.137	1539	52.31	43.87	BEI_FL16S
SRR9089358.138	1543	51.13	32.99	BEI_FL16S
SRR9089358.139	1535	54.66	52.56	BEI_FL16S
SRR9089358.140	1550	52.32	39.56	BEI_FL16S
SRR9089358.141	1551	52.35	47.87	BEI_FL16S
SRR9089358.142	1544	50.91	36.34	BEI_FL16S
SRR9089358.143	1535	54.33	61.01	BEI_FL16S
SRR9089358.144	1541	52.04	32.72	BEI_FL16S
SRR9089358.145	1535	54.46	50.02	BEI_FL16S
SRR9089358.146	1555	52.09	31.17	BEI_FL16S
SRR9089358.147	1545	51.07	33.11	BEI_FL16S
SRR9089358.148	1550	52.45	36.32	BEI_FL16S
SRR9089358.149	1506	52.26	34.84	BEI_FL16S
SRR9089358.150	1544	52.14	32.12	BEI_FL16S
SRR9089358.151	1535	54.53	32.67	BEI_FL16S
SRR9089358.152	1555	52.15	35.33	BEI_FL16S
SRR9089358.153	1550	52.19	48.90	BEI_FL16S
SRR9089358.154	1460	55.21	33.68	BEI_FL16S
SRR9089358.155	1551	52.22	30.25	BEI_FL16S
SRR9089358.156	1542	51.88	45.20	BEI_FL16S
SRR9089358.157	1535	54.33	38.84	BEI_FL16S
SRR9089358.158	1534	54.30	43.26	BEI_FL16S
SRR9089358.159	1536	54.43	33.88	BEI_FL16S
SRR9089358.160	1548	52.33	40.47	BEI_FL16S
SRR9089358.161	1552	52.13	34.41	BEI_FL16S
SRR9089358.162	1524	54.46	49.52	BEI_FL16S
SRR9089358.163	1550	52.26	39.64	BEI_FL16S
SRR9089358.164	1544	51.04	34.05	BEI_FL16S
SRR9089358.165	1551	52.29	34.45	BEI_FL16S
SRR9089358.166	1552	52.13	31.49	BEI_FL16S
SRR9089358.167	1542	51.10	34.44	BEI_FL16S
SRR9089358.168	1532	54.24	38.74	BEI_FL16S
SRR9089358.169	1544	50.97	53.61	BEI_FL16S
SRR9089358.170	1535	54.40	30.12	BEI_FL16S
SRR9089358.171	1535	54.33	41.85	BEI_FL16S
SRR9089358.172	1543	51.20	30.72	BEI_FL16S
SRR9089358.173	1546	51.10	30.66	BEI_FL16S
SRR9089358.174	1535	54.46	36.30	BEI_FL16S
SRR9089358.175	1550	52.26	32.67	BEI_FL16S
SRR9089358.176	1549	52.42	34.88	BEI_FL16S
SRR9089358.177	1542	51.88	34.30	BEI_FL16S
SRR9089358.178	1535	54.33	51.62	BEI_FL16S
SRR9089358.179	1537	51.01	34.84	BEI_FL16S
SRR9089358.180	1546	51.16	30.15	BEI_FL16S
SRR9089358.181	1535	54.20	45.32	BEI_FL16S
SRR9089358.182	1545	50.94	36.54	BEI_FL16S
SRR9089358.183	1535	54.40	59.48	BEI_FL16S
SRR9089358.184	1550	52.39	34.41	BEI_FL16S
SRR9089358.185	1537	51.27	34.87	BEI_FL16S
SRR9089358.186	1535	54.66	49.26	BEI_FL16S
SRR9089358.187	1535	54.33	52.48	BEI_FL16S
SRR9089358.188	1506	52.12	35.70	BEI_FL16S
SRR9089358.189	1546	52.46	42.87	BEI_FL16S
SRR9089358.190	1544	51.04	46.49	BEI_FL16S
SRR9089358.191	1544	50.97	36.25	BEI_FL16S
SRR9089358.192	1544	50.97	40.04	BEI_FL16S
SRR9089358.193	1547	52.36	59.17	BEI_FL16S
SRR9089358.194	1545	51.26	35.89	BEI_FL16S
SRR9089358.195	1535	54.27	40.86	BEI_FL16S
SRR9089358.196	1548	52.20	40.37	BEI_FL16S
SRR9089358.197	1550	52.19	49.20	BEI_FL16S
SRR9089358.198	1549	52.36	42.50	BEI_FL16S
SRR9089358.199	1544	51.10	35.00	BEI_FL16S
SRR9089358.200	1537	54.39	52.66	BEI_FL16S
SRR9089358.201	1542	50.71	33.23	BEI_FL16S
SRR9089358.202	1542	51.95	62.82	BEI_FL16S
SRR9089358.203	1535	54.40	35.71	BEI_FL16S
SRR9089358.204	1544	50.97	38.21	BEI_FL16S
SRR9089358.205	1544	51.17	57.87	BEI_FL16S
SRR9089358.206	1544	51.17	40.83	BEI_FL16S
SRR9089358.207	1536	50.65	39.03	BEI_FL16S
SRR9089358.208	1550	52.39	34.33	BEI_FL16S
SRR9089358.209	1535	54.40	32.03	BEI_FL16S
SRR9089358.210	1545	50.94	34.24	BEI_FL16S
SRR9089358.211	1538	51.17	53.59	BEI_FL16S
SRR9089358.212	1549	52.23	31.18	BEI_FL16S
SRR9089358.213	1542	50.97	40.84	BEI_FL16S
SRR9089358.214	1550	52.39	34.69	BEI_FL16S
SRR9089358.215	1535	54.40	56.88	BEI_FL16S
SRR9089358.216	1553	52.29	30.14	BEI_FL16S
SRR9089358.217	1544	51.04	53.24	BEI_FL16S
SRR9089358.218	1456	55.08	35.10	BEI_FL16S
SRR9089358.219	1550	52.45	41.78	BEI_FL16S
SRR9089358.220	1543	51.20	41.77	BEI_FL16S
SRR9089358.221	1544	50.97	32.91	BEI_FL16S
SRR9089358.222	1550	52.32	52.96	BEI_FL16S
SRR9089358.223	1458	55.28	41.89	BEI_FL16S
SRR9089358.224	1544	51.10	38.90	BEI_FL16S
SRR9089358.225	1551	52.35	30.34	BEI_FL16S
SRR9089358.226	1544	51.10	31.60	BEI_FL16S
SRR9089358.227	1533	54.27	30.35	BEI_FL16S
SRR9089358.228	1535	54.20	51.33	BEI_FL16S
SRR9089358.229	1550	52.39	39.10	BEI_FL16S
SRR9089358.230	1536	51.04	40.51	BEI_FL16S
SRR9089358.231	1552	52.32	38.58	BEI_FL16S
SRR9089358.232	1550	52.19	65.79	BEI_FL16S
SRR9089358.233	1535	54.40	32.38	BEI_FL16S
SRR9089358.234	1548	52.26	38.93	BEI_FL16S
SRR9089358.235	1550	52.45	33.57	BEI_FL16S
SRR9089358.236	1542	50.97	37.07	BEI_FL16S
SRR9089358.237	1549	52.36	32.45	BEI_FL16S
SRR9089358.238	1550	52.13	36.23	BEI_FL16S
SRR9089358.239	1544	51.17	47.63	BEI_FL16S
SRR9089358.240	1550	52.39	32.18	BEI_FL16S
SRR9089358.241	1535	54.27	41.24	BEI_FL16S
SRR9089358.242	1549	52.49	39.09	BEI_FL16S
SRR9089358.243	1536	54.30	48.00	BEI_FL16S
SRR9089358.244	1460	55.34	33.89	BEI_FL16S
SRR9089358.245	1543	51.00	34.35	BEI_FL16S
SRR9089358.246	1549	52.29	31.54	BEI_FL16S
SRR9089358.247	1534	54.24	42.73	BEI_FL16S
SRR9089358.248	1505	52.49	42.77	BEI_FL16S
SRR9089358.249	1546	51.10	31.96	BEI_FL16S
SRR9089358.250	1544	53.11	72.94	BEI_FL16S
SRR9089358.251	1544	52.46	70.60	BEI_FL16S
SRR9089358.252	1535	54.20	41.68	BEI_FL16S
SRR9089358.253	1542	51.95	51.60	BEI_FL16S
SRR9089358.254	1544	51.10	43.95	BEI_FL16S
SRR9089358.255	1544	51.10	32.26	BEI_FL16S
SRR9089358.256	1545	51.07	61.73	BEI_FL16S
SRR9089358.257	1544	51.10	40.80	BEI_FL16S
SRR9089358.258	1550	52.39	37.03	BEI_FL16S
SRR9089358.259	1545	50.94	35.83	BEI_FL16S
SRR9089358.260	1535	54.27	75.96	BEI_FL16S
SRR9089358.261	1543	50.94	34.26	BEI_FL16S
SRR9089358.262	1543	51.07	34.46	BEI_FL16S
SRR9089358.263	1550	52.19	39.90	BEI_FL16S
SRR9089358.264	1550	52.32	33.58	BEI_FL16S
SRR9089358.265	1504	52.33	68.63	BEI_FL16S
SRR9089358.266	1535	54.53	32.29	BEI_FL16S
SRR9089358.267	1549	52.23	40.50	BEI_FL16S
SRR9089358.268	1532	54.44	38.40	BEI_FL16S
SRR9089358.269	1550	52.19	36.41	BEI_FL16S
SRR9089358.270	1541	51.01	33.46	BEI_FL16S
SRR9089358.271	1544	51.17	34.52	BEI_FL16S
SRR9089358.272	1550	52.26	47.33	BEI_FL16S
SRR9089358.273	1549	52.23	30.37	BEI_FL16S
SRR9089358.274	1541	51.91	34.70	BEI_FL16S
SRR9089358.275	1550	52.32	37.71	BEI_FL16S
SRR9089358.276	1544	50.91	51.02	BEI_FL16S
SRR9089358.277	1544	51.17	36.69	BEI_FL16S
SRR9089358.278	1506	52.39	41.43	BEI_FL16S
SRR9089358.279	1550	52.39	40.75	BEI_FL16S
SRR9089358.280	1535	54.27	33.14	BEI_FL16S
SRR9089358.281	1550	52.26	83.84	BEI_FL16S
SRR9089358.282	1544	50.97	35.41	BEI_FL16S
SRR9089358.283	1543	51.07	36.53	BEI_FL16S
SRR9089358.284	1545	51.13	30.91	BEI_FL16S
SRR9089358.285	1548	52.20	36.62	BEI_FL16S
SRR9089358.286	1543	53.21	32.40	BEI_FL16S
SRR9089358.287	1535	54.53	79.53	BEI_FL16S
SRR9089358.288	1536	54.43	37.23	BEI_FL16S
SRR9089358.289	1544	51.10	36.49	BEI_FL16S
SRR9089358.290	1551	52.35	37.96	BEI_FL16S
SRR9089358.291	1535	54.27	32.62	BEI_FL16S
SRR9089358.292	1551	52.29	36.69	BEI_FL16S
SRR9089358.293	1535	54.27	53.61	BEI_FL16S
SRR9089358.294	1544	51.10	59.02	BEI_FL16S
SRR9089358.295	1548	53.17	37.53	BEI_FL16S
SRR9089358.296	1544	51.10	42.48	BEI_FL16S
SRR9089358.297	1550	52.26	34.74	BEI_FL16S
SRR9089358.298	1553	52.29	32.40	BEI_FL16S
SRR9089358.299	1505	52.43	58.62	BEI_FL16S
SRR9089358.300	1540	54.16	39.78	BEI_FL16S
SRR9089358.301	1505	52.43	50.49	BEI_FL16S
SRR9089358.302	1543	51.00	38.26	BEI_FL16S
SRR9089358.303	1460	55.34	52.63	BEI_FL16S
SRR9089358.304	1550	52.45	57.14	BEI_FL16S
SRR9089358.305	1541	51.07	32.04	BEI_FL16S
SRR9089358.306	1544	53.30	40.97	BEI_FL16S
SRR9089358.307	1560	52.31	32.60	BEI_FL16S
SRR9089358.308	1545	51.20	36.70	BEI_FL16S
SRR9089358.309	1497	50.43	35.26	BEI_FL16S
SRR9089358.310	1549	52.42	30.91	BEI_FL16S
SRR9089358.311	1543	50.94	32.46	BEI_FL16S
SRR9089358.312	1550	52.13	33.34	BEI_FL16S
SRR9089358.313	1547	52.29	35.84	BEI_FL16S
SRR9089358.314	1550	52.26	48.82	BEI_FL16S
SRR9089358.315	1545	51.07	50.64	BEI_FL16S
SRR9089358.316	1533	54.34	42.77	BEI_FL16S
SRR9089358.317	1543	52.50	33.70	BEI_FL16S
SRR9089358.318	1543	51.00	61.61	BEI_FL16S
SRR9089358.319	1535	54.33	47.53	BEI_FL16S
SRR9089358.320	1535	54.46	36.83	BEI_FL16S
SRR9089358.321	1544	51.10	35.01	BEI_FL16S
SRR9089358.322	1542	51.04	32.84	BEI_FL16S
SRR9089358.323	1542	52.01	32.62	BEI_FL16S
SRR9089358.324	1549	52.49	30.06	BEI_FL16S
SRR9089358.325	1544	51.17	37.60	BEI_FL16S
SRR9089358.326	1544	51.04	48.95	BEI_FL16S
SRR9089358.327	1550	52.26	30.64	BEI_FL16S
SRR9089358.328	1535	54.33	43.48	BEI_FL16S
SRR9089358.329	1536	54.43	33.56	BEI_FL16S
SRR9089358.330	1541	51.91	45.22	BEI_FL16S
SRR9089358.331	1544	50.97	32.78	BEI_FL16S
SRR9089358.332	1544	51.04	56.60	BEI_FL16S
SRR9089358.333	1535	54.53	43.48	BEI_FL16S
SRR9089358.334	1545	50.94	39.03	BEI_FL16S
SRR9089358.335	3089	51.08	30.17	BEI_FL16S
SRR9089358.336	1535	54.33	40.78	BEI_FL16S
SRR9089358.337	1534	54.56	31.75	BEI_FL16S
SRR9089358.338	1536	54.23	32.42	BEI_FL16S
SRR9089358.339	1534	54.50	50.24	BEI_FL16S
SRR9089358.340	1550	52.39	80.33	BEI_FL16S
SRR9089358.341	1545	50.94	30.19	BEI_FL16S
SRR9089358.342	1550	52.26	34.62	BEI_FL16S
SRR9089358.343	1535	54.27	32.20	BEI_FL16S
SRR9089358.344	1549	52.36	39.00	BEI_FL16S
SRR9089358.345	1550	52.32	39.95	BEI_FL16S
SRR9089358.346	1550	52.26	34.48	BEI_FL16S
SRR9089358.347	1550	52.32	37.68	BEI_FL16S
SRR9089358.348	1545	52.30	43.70	BEI_FL16S
SRR9089358.349	1545	50.87	39.76	BEI_FL16S
SRR9089358.350	1550	52.32	38.13	BEI_FL16S
SRR9089358.351	1552	52.26	30.34	BEI_FL16S
SRR9089358.352	1544	51.04	33.32	BEI_FL16S
SRR9089358.353	1539	51.01	37.78	BEI_FL16S
SRR9089358.354	1544	50.78	44.85	BEI_FL16S
SRR9089358.355	1543	53.34	60.98	BEI_FL16S
SRR9089358.356	1542	51.88	36.99	BEI_FL16S
SRR9089358.357	1370	54.67	34.03	BEI_FL16S
SRR9089358.358	1542	51.17	31.95	BEI_FL16S
SRR9089358.359	1459	55.17	38.28	BEI_FL16S
SRR9089358.360	1543	50.75	38.46	BEI_FL16S
SRR9089358.361	1549	52.16	35.30	BEI_FL16S
SRR9089358.362	1544	51.10	49.83	BEI_FL16S
SRR9089358.363	1550	52.32	35.32	BEI_FL16S
SRR9089358.364	1543	51.13	30.96	BEI_FL16S
SRR9089358.365	1538	51.76	32.34	BEI_FL16S
SRR9089358.366	1551	52.42	46.85	BEI_FL16S
SRR9089358.367	1549	52.29	53.50	BEI_FL16S
SRR9089358.368	1545	53.33	42.55	BEI_FL16S
SRR9089358.369	1546	50.91	35.78	BEI_FL16S
SRR9089358.370	1544	50.97	46.15	BEI_FL16S
SRR9089358.371	1543	51.98	31.26	BEI_FL16S
SRR9089358.372	1536	54.36	54.94	BEI_FL16S
SRR9089358.373	1544	51.04	43.63	BEI_FL16S
SRR9089358.374	1551	52.29	30.78	BEI_FL16S
SRR9089358.375	1552	52.38	38.41	BEI_FL16S
SRR9089358.376	1550	52.39	60.27	BEI_FL16S
SRR9089358.377	1544	50.97	31.43	BEI_FL16S
SRR9089358.378	1549	52.29	35.11	BEI_FL16S
SRR9089358.379	1544	50.97	47.18	BEI_FL16S
SRR9089358.380	1544	50.97	57.78	BEI_FL16S
SRR9089358.381	1544	51.04	46.32	BEI_FL16S
SRR9089358.382	1549	52.36	40.90	BEI_FL16S
SRR9089358.383	1545	53.20	58.09	BEI_FL16S
SRR9089358.384	1544	51.04	44.41	BEI_FL16S
SRR9089358.385	1544	51.10	38.38	BEI_FL16S
SRR9089358.386	1550	52.19	54.58	BEI_FL16S
SRR9089358.387	1535	54.46	31.34	BEI_FL16S
SRR9089358.388	1535	54.33	63.23	BEI_FL16S
SRR9089358.389	1566	51.92	76.98	BEI_FL16S
SRR9089358.390	1550	52.39	33.55	BEI_FL16S
SRR9089358.391	1535	54.33	31.90	BEI_FL16S
SRR9089358.392	1458	55.21	35.12	BEI_FL16S
SRR9089358.393	1541	51.78	33.77	BEI_FL16S
SRR9089358.394	1533	54.40	34.97	BEI_FL16S
SRR9089358.395	1549	52.23	35.06	BEI_FL16S
SRR9089358.396	1461	55.24	37.23	BEI_FL16S
SRR9089358.397	1550	52.19	37.71	BEI_FL16S
SRR9089358.398	1552	52.38	40.44	BEI_FL16S
SRR9089358.399	1549	52.23	39.69	BEI_FL16S
SRR9089358.400	1550	52.32	30.47	BEI_FL16S
SRR9089358.401	1544	51.10	50.59	BEI_FL16S
SRR9089358.402	1535	54.20	41.90	BEI_FL16S
SRR9089358.403	1544	51.04	40.54	BEI_FL16S
SRR9089358.404	1550	52.39	31.02	BEI_FL16S
SRR9089358.405	1537	54.46	39.03	BEI_FL16S
SRR9089358.406	879	51.65	82.84	BEI_FL16S
SRR9089358.407	1543	51.07	58.12	BEI_FL16S
SRR9089358.408	1544	51.04	65.41	BEI_FL16S
SRR9089358.409	1542	51.10	49.19	BEI_FL16S
SRR9089358.410	1538	54.16	30.42	BEI_FL16S
SRR9089358.411	1536	54.49	38.35	BEI_FL16S
SRR9089358.412	1544	51.23	44.37	BEI_FL16S
SRR9089358.413	1461	55.17	39.10	BEI_FL16S
SRR9089358.414	1550	52.26	40.46	BEI_FL16S
SRR9089358.415	1549	52.36	40.38	BEI_FL16S
SRR9089358.416	1544	51.10	42.61	BEI_FL16S
SRR9089358.417	1543	51.20	31.05	BEI_FL16S
SRR9089358.418	1551	52.29	50.74	BEI_FL16S
SRR9089358.419	1539	52.50	32.32	BEI_FL16S
SRR9089358.420	1534	54.56	31.57	BEI_FL16S
SRR9089358.421	1549	52.36	36.56	BEI_FL16S
SRR9089358.422	1550	52.39	33.12	BEI_FL16S
SRR9089358.423	1552	52.19	32.52	BEI_FL16S
SRR9089358.424	1545	53.27	41.50	BEI_FL16S
SRR9089358.425	1544	51.10	44.42	BEI_FL16S
SRR9089358.426	1545	51.07	36.90	BEI_FL16S
SRR9089358.427	1461	55.37	38.29	BEI_FL16S
SRR9089358.428	1549	52.16	35.69	BEI_FL16S
SRR9089358.429	1542	50.97	62.17	BEI_FL16S
SRR9089358.430	1533	53.82	33.88	BEI_FL16S
SRR9089358.431	1535	54.33	34.87	BEI_FL16S
SRR9089358.432	1546	51.16	31.01	BEI_FL16S
SRR9089358.433	1549	52.36	41.20	BEI_FL16S
SRR9089358.434	1505	52.36	52.99	BEI_FL16S
SRR9089358.435	1549	52.16	34.06	BEI_FL16S
SRR9089358.436	1550	52.32	37.00	BEI_FL16S
SRR9089358.437	1454	55.43	30.07	BEI_FL16S
SRR9089358.438	1544	51.04	37.72	BEI_FL16S
SRR9089358.439	1550	52.26	38.01	BEI_FL16S
SRR9089358.440	3083	53.36	31.34	BEI_FL16S
SRR9089358.441	1548	50.90	31.15	BEI_FL16S
SRR9089358.442	1537	54.59	44.25	BEI_FL16S
SRR9089358.443	1551	52.29	33.03	BEI_FL16S
SRR9089358.444	1547	52.29	31.08	BEI_FL16S
SRR9089358.445	1447	55.36	52.72	BEI_FL16S
SRR9089358.446	1543	51.00	38.95	BEI_FL16S
SRR9089358.447	1552	50.97	30.96	BEI_FL16S
SRR9089358.448	1542	51.10	33.68	BEI_FL16S
SRR9089358.449	1550	52.39	65.22	BEI_FL16S
SRR9089358.450	1554	52.06	33.15	BEI_FL16S
SRR9089358.451	1550	52.32	41.83	BEI_FL16S
SRR9089358.452	1460	55.27	64.42	BEI_FL16S
SRR9089358.453	1546	50.84	31.42	BEI_FL16S
SRR9089358.454	1543	51.20	36.67	BEI_FL16S
SRR9089358.455	1549	52.36	34.47	BEI_FL16S
SRR9089358.456	1548	52.26	31.74	BEI_FL16S
SRR9089358.457	1544	50.91	60.47	BEI_FL16S
SRR9089358.458	1544	50.78	32.38	BEI_FL16S
SRR9089358.459	1544	53.17	40.67	BEI_FL16S
SRR9089358.460	1546	51.10	32.23	BEI_FL16S
SRR9089358.461	1536	52.02	31.76	BEI_FL16S
SRR9089358.462	1544	51.04	33.05	BEI_FL16S
SRR9089358.463	1551	52.29	32.76	BEI_FL16S
SRR9089358.464	1549	52.29	33.59	BEI_FL16S
SRR9089358.465	1550	52.13	35.47	BEI_FL16S
SRR9089358.466	1545	50.94	37.77	BEI_FL16S
SRR9089358.467	1543	51.07	36.08	BEI_FL16S
SRR9089358.468	1460	55.34	49.91	BEI_FL16S
SRR9089358.469	1549	52.42	37.66	BEI_FL16S
SRR9089358.470	1543	51.00	30.93	BEI_FL16S
SRR9089358.471	1535	54.33	37.36	BEI_FL16S
SRR9089358.472	1542	51.04	31.54	BEI_FL16S
SRR9089358.473	1534	54.50	39.80	BEI_FL16S
SRR9089358.474	1549	52.42	48.71	BEI_FL16S
SRR9089358.475	1537	51.14	31.45	BEI_FL16S
SRR9089358.476	1544	51.04	45.59	BEI_FL16S
SRR9089358.477	1549	52.36	54.50	BEI_FL16S
SRR9089358.478	1544	53.17	39.35	BEI_FL16S
SRR9089358.479	1545	51.13	36.06	BEI_FL16S
SRR9089358.480	2994	53.11	30.74	BEI_FL16S
SRR9089358.481	1535	51.14	31.30	BEI_FL16S
